OBJECT_NAME,TLE_LINE1,TLE_LINE1
THOR ABLESTAR DEB,1 00420U 61015EV  24002.57551291  .00001376  00000-0  53688-3 0  9992,2 00420  66.8149 101.3810 0085640 165.5609 194.7968 14.30585074225157
THOR ABLESTAR DEB,1 00461U 61015EX  24002.50591165  .00008106  00000-0  13633-2 0  9997,2 00461  67.5071  57.8342 0033313 135.0697 225.3133 14.69650679252430
THOR ABLESTAR DEB,1 00463U 61015EZ  24002.22068780  .00003229  00000-0  88213-3 0  9998,2 00463  66.7717 317.4901 0056225 226.5499 133.0924 14.47619759238818
THOR ABLESTAR DEB,1 00465U 61015FB  24002.53124681  .00001327  00000-0  48577-3 0  9993,2 00465  66.3152 150.1156 0034231 186.9148 173.1482 14.35788206217144
THOR ABLESTAR DEB,1 00467U 61015FD  24002.43288022  .00001329  00000-0  17501-2 0  9998,2 00467  66.5595  11.5904 0244530 150.4879 211.0242 13.52500756159424
THOR ABLESTAR DEB,1 00469U 61015FF  24002.30498862  .00001212  00000-0  48316-3 0  9991,2 00469  66.8350 341.8322 0059367 156.6949 203.6863 14.30927527224479
THOR ABLESTAR DEB,1 00470U 61015FG  24002.50852397  .00000806  00000-0  52420-3 0  9991,2 00470  66.2311  59.5530 0063952 153.2148 207.2261 14.06862544186137
THOR ABLESTAR DEB,1 00474U 61015FL  24002.34210795  .00136190  00000-0  50165-2 0  9996,2 00474  66.2337 344.8955 0009939  45.7146 314.4810 15.27046779258474
THOR ABLESTAR DEB,1 00475U 61015FM  24002.63387295  .00001625  00000-0  78473-3 0  9996,2 00475  66.2244 210.1104 0157337 292.7604  65.6922 14.14923938160491
THOR ABLESTAR DEB,1 00478U 61015FQ  24002.06149286  .00005193  00000-0  94282-3 0  9992,2 00478  66.0690 259.0034 0045004 173.8345 186.3330 14.66399098251316
THOR ABLESTAR DEB,1 00480U 61015FS  24002.34422740  .00002605  00000-0  88168-3 0  9996,2 00480  66.2402 329.2239 0086049 345.5142  14.3490 14.36369091225715
THOR AGENA B DEB,1 00510U 62049C   24002.40570757  .00000114  00000-0  11974-3 0  9991,2 00510  80.5143 129.2264 0015095 249.2460 175.9943 13.69872281 59876
THOR AGENA B DEB,1 00511U 62049D   24002.42189605  .00000087  00000-0  90617-4 0  9993,2 00511  80.4285   1.2005 0032449 122.7604  43.5975 13.68369737 56926
THOR ABLESTAR DEB,1 00516U 61015FT  24002.04892837  .00000403  00000-0  36849-3 0  9994,2 00516  65.9941 255.3602 0091031 265.0949  93.9726 13.91902794163483
THOR ABLESTAR DEB,1 00530U 61015FU  24002.44546675  .00000182  00000-0  17609-3 0  9997,2 00530  66.8804  20.3294 0073540  97.9762 262.9676 13.98731251182178
THOR ABLESTAR DEB,1 00537U 61015FW  24002.52319988  .00000627  00000-0  78825-3 0  9999,2 00537  67.2273  16.9052 0178062 241.8894 280.8261 13.63766500892921
THOR ABLESTAR DEB,1 00538U 61015FX  24002.59208469  .00005026  00000-0  12864-2 0  9996,2 00538  67.8088 148.0888 0005955 180.5866 179.5246 14.51060274232821
THOR ABLESTAR DEB,1 00541U 61015GA  24002.41893102  .00000259  00000-0  28311-3 0  9993,2 00541  67.2197  18.4006 0081184 249.3265 109.9097 13.85453205148055
THOR ABLESTAR DEB,1 00543U 61015GC  24002.09718067  .00000144  00000-0  24579-3 0  9990,2 00543  67.0305 235.3733 0064503 126.3490  36.3137 13.68633567113909
THOR ABLESTAR DEB,1 00544U 61015GD  24002.60376769  .00000260  00000-0  42686-3 0  9995,2 00544  66.8741 117.6716 0183729 147.4294 313.9081 13.55349764 80063
THOR ABLESTAR DEB,1 00545U 61015GE  24002.60405350  .00000423  00000-0  51350-3 0  9994,2 00545  67.2305 193.6166 0160430   4.3962 355.8474 13.69850658107420
THOR ABLESTAR DEB,1 00548U 61015GH  24002.23425815  .00002665  00000-0  44497-3 0  9998,2 00548  66.6737 302.0160 0102910  85.0556 276.2300 14.68195021271768
THOR ABLESTAR DEB,1 00549U 61015GJ  24002.45062647  .00000119  00000-0  31790-3 0  9997,2 00549  66.6947 100.3581 0212599 163.6450 278.9277 13.36055934 43108
THOR ABLESTAR DEB,1 00552U 61015GM  24002.39845234  .00001715  00000-0  12670-2 0  9993,2 00552  67.7391  21.2051 0105093  74.9550 286.3139 13.94908588131390
THOR ABLESTAR DEB,1 00558U 61015GQ  24002.17900753  .00000210  00000-0  68990-3 0  9999,2 00558  65.6992 272.6621 0464870  98.0881  49.5354 12.86085958934273
THOR ABLESTAR DEB,1 00559U 61015GR  24002.11805907  .00005163  00000-0  12669-2 0  9992,2 00559  66.6057 257.4454 0056604 103.6745 257.0674 14.52188537218522
THOR ABLESTAR DEB,1 00560U 61015GS  24002.52757539  .00002898  00000-0  32196-2 0  9995,2 00560  67.1623 133.5816 0311232 238.9940 118.0215 13.53884200 32740
THOR ABLESTAR DEB,1 00561U 61015GT  24002.59530257  .00000428  00000-0  17423-2 0  9992,2 00561  67.7533 159.7942 0634353 189.0007 254.2371 12.40740382829869
WESTFORD NEEDLES,1 00602U 63014E   24002.19400356  .00000018  00000-0  70448-2 0  9992,2 00602  87.3204 275.2985 0048414 227.5675 132.1080  8.67232868920070
WESTFORD NEEDLES,1 00628U 63014F   23364.79601075  .00000003  00000-0  00000-0 0  9996,2 00628  87.3118 288.8916 0032899 266.6422  93.0667  8.63368244911339
WESTFORD NEEDLES,1 00629U 63014G   24002.11682898 -.00000038  00000-0 -19091-1 0  9996,2 00629  87.3157 277.0108 0116922 209.5291 149.8923  8.65575640916574
ATLAS AGENA B DEB,1 00630U 63030C   24002.11191147  .00000003  00000-0  39648-3 0  9990,2 00630  88.3946 252.6822 0034427  91.8129 268.6666  8.59854579897729
ATLAS AGENA B DEB,1 00631U 63030E   24002.11125595  .00000002  00000-0  00000-0 0  9991,2 00631  88.3733 267.1657 0183592 253.4142 104.6472  8.55883902888889
THOR ABLESTAR DEB,1 00643U 61015GU  24002.13020062  .00000446  00000-0  77177-3 0  9994,2 00643  66.3698 287.4253 0333161 180.1366 179.9645 13.32895950990246
THOR ABLESTAR DEB,1 00644U 61015GV  24002.63210176  .00000761  00000-0  10466-2 0  9994,2 00644  67.0965 190.7671 0145853  38.1876  35.1020 13.59348131 75785
THOR ABLESTAR DEB,1 00645U 61015GW  24002.30533786  .00000459  00000-0  10774-2 0  9990,2 00645  66.5897 332.3703 0418260 278.7534 193.1703 13.04116353962857
THOR ABLESTAR DEB,1 00648U 61015GZ  24002.42741470  .00000698  00000-0  92886-3 0  9997,2 00648  65.8768  24.6287 0208712 299.6567 164.9548 13.58082685 77123
THOR ABLESTAR DEB,1 00649U 61015HA  24002.56071635  .00000199  00000-0  75657-3 0  9995,2 00649  66.2651 175.0362 0554354 112.0726 314.6195 12.64862509879215
THOR ABLESTAR DEB,1 00652U 61015HD  24002.45131314  .00001823  00000-0  99461-3 0  9992,2 00652  66.6927 239.0337 0084212 272.4889  86.6561 14.12565882166899
THOR ABLESTAR DEB,1 00653U 61015HE  24002.35233505  .00000844  00000-0  98014-3 0  9992,2 00653  67.4520  65.3973 0161322 331.3840 112.9978 13.67977964 95099
THOR ABLESTAR DEB,1 00655U 61015HG  24002.26589944  .00000372  00000-0  91435-3 0  9991,2 00655  67.2587 311.5964 0366471 215.1103 268.7180 13.08458496969523
THOR ABLESTAR DEB,1 00656U 61015HH  24001.96578672  .00001175  00000-0  25183-2 0  9992,2 00656  66.2881 234.1139 0669596 200.3427 156.9712 12.69965501852912
THOR ABLESTAR DEB,1 00657U 61015HJ  24002.62111262 -.00000364  00000-0 -64955-3 0  9997,2 00657  66.2151 157.3752 0323389 123.6608 326.2305 13.11345600987037
THOR ABLESTAR DEB,1 00658U 61015HK  24002.45700308  .00002430  00000-0  31258-2 0  9997,2 00658  65.8665  64.7311 0369829 275.9091  79.9923 13.39182929939411
THOR ABLESTAR DEB,1 00659U 61015HL  24002.47499385 -.00000061  00000-0 -24790-4 0  9995,2 00659  67.1631  44.9474 0582575 126.0873 354.8067 12.66066795877471
THOR ABLESTAR DEB,1 00660U 61015HM  24002.11078499  .00006824  00000-0  11308-2 0  9997,2 00660  66.5170 256.8836 0032718 143.3049 338.9546 14.70482485251652
THOR ABLESTAR DEB,1 00672U 63038D   24002.39081418  .00001309  00000-0  15549-2 0  9996,2 00672  90.0133 336.0444 0026821 225.1983 300.0375 13.66889531979335
ATLAS CENTAUR 2 DEB,1 00698U 63047D   24002.34302178  .00000910  00000-0  31438-3 0  9991,2 00698  29.9267 359.2469 0541397 213.9118 142.5699 13.71108259955701
ATLAS CENTAUR 2 DEB,1 00700U 63047F   24002.60152031  .00000319  00000-0  94103-4 0  9997,2 00700  30.4827 157.3955 0721485 288.7502  63.6169 13.39215295929873
ATLAS CENTAUR 2 DEB,1 00701U 63047G   24002.62426399  .00001037  00000-0  32411-3 0  9992,2 00701  30.0122 197.4211 0521226 260.9520  93.1750 13.79204424986133
WESTFORD NEEDLES,1 00702U 63014H   24001.19399335 -.00000144  00000-0 -67072-1 0  9996,2 00702  87.3077 275.4574 0204089 230.6568 127.6040  8.65707593916567
THOR ABLESTAR DEB,1 00706U 63049D   24002.18826942  .00000352  00000-0  48891-3 0  9996,2 00706  89.9118  81.1248 0029022 158.7305 263.7658 13.55892672961729
THOR ABLESTAR DEB,1 00715U 63049E   24002.21327187  .00000995  00000-0  10599-2 0  9993,2 00715  89.9129  86.1443 0028806 340.2794  72.8532 13.73293334980161
DELTA 1 DEB,1 00720U 63054C   24002.49915854  .00000561  00000-0  18004-3 0  9998,2 00720  58.4725  92.3115 0111953  17.1596 343.3168 14.48366555151464
SCOUT X-4 DEB,1 00724U 63053E   24002.08903044  .00008849  00000-0  16506-2 0  9995,2 00724  78.5922 241.0231 0305148  48.8480 313.8596 14.39096690888213
SCOUT X-4 DEB,1 00732U 63053H   24002.13868530  .00006226  00000-0  22728-2 0  9990,2 00732  78.5716 260.3672 0471548 160.8854 201.0682 13.85364571849985
ATLAS CENTAUR 2 DEB,1 00739U 63047H   24002.63452896  .00000933  00000-0  14627-3 0  9998,2 00739  30.4201 206.7186 0642455  51.1348 314.4816 13.83513910 17042
THOR AGENA B DEB,1 00742U 64004C   24002.57930195  .00000076  00000-0  13621-3 0  9993,2 00742  81.4662  72.4209 0172465 175.8968 184.3620 13.26104856898516
